payment_code|operation_code|party_type|name|company_reg_no|business_reg_no|passport|account|account_status|relationship_start_date|relationship_type|agreement_date|statement_date|capacity|facility|credit_limit|instalment_amount|amount_in_arrears|month_in_arrears|tenure|total_balance_outstanding|late_payment_interest|principal_repayment_term|collateral_type|legal_status|date_status_update|deletion_reason_code|total_amount_paid|debt_type|email|mobile_no|date_of_notice|sponsor_constitution|sponsor_old_ic_company_reg_no|sponsor_new_ic_business_reg_no|sponsor_passport_no|sponsor_name|sponsor_status|sponsor_remarks|old_account_no
A|A|I|CRAIG BREWER||810701043011||BOOST000050|3|20230107|1|20230128|20241227|2|2|1705.92|664.64|7311.04|11|77|111.11|17|1|0|0|20241227|0|0.0|003|elizabethsmith@example.com||||||||||
A|A|I|MARIA HARDING||770108021705||BOOST000051|1|20241125|1|20241209|20250213|1|3|4548.36|1516.12|9096.72|6|90|2334.4|18|1|0|0|20250213|0|0.0|001||018-5337869|||||||||
A|A|I|MARC HOWARD||761111116296||BOOST000052|1|20230101|1|20230129|20241030|1|3|8520.61|6726.8|0.0|0|38|6334.5|16|1|0|0|20241030|0|0.0|003|lyonsvincent@example.net|019-4449320|||||||||
A|A|I|JOE TOWNSEND||630527066958||BOOST000053|3|20230928|1|20231020|20250315|1|3|13590.72|9481.9|66373.3|7|43|2166.46|21|1|0|2|20250315|0|0.0|004|matthewruiz@example.org||20250213||||||||
A|A|I|NICOLE BRANCH||920719034319||BOOST000054|1|20231204|1|20231227|20250616|1|2|8641.64|3123.48|0.0|0|83|4118.3|24|1|0|0|20250616|0|0.0|003|irwineric@example.net|017-2076334|||||||||
A|A|I|BRITTANY HALL||951118042830||BOOST000055|1|20241108|1|20241205|20250319|1|3|14652.52|33813.51|0.0|0|13|12278.31|15|1|0|0|20250319|0|0.0|001|cooperjonathan@example.org|014-6693866|||||||||
A|A|C|DAVIS, GOODMAN AND LOPEZ SDN BHD|2006150992-H|2006150992-H||BOOST000056|1|20241113|1|20241211|20250308|1|2|8148.21|5092.63|0.0|0|48|7061.98|12|1|0|0|20250308|0|0.0|004|dcopeland@example.org|019-6594829|||||||||
A|A|I|THOMAS JOHNSON||570416015871||BOOST000057|1|20231007|1|20231030|20250628|2|2|17709.35|12958.06|0.0|0|41|8651.59|18|1|0|0|20250628|0|0.0|002|kathleen09@example.net|019-4778843|||||||||
A|A|I|NEIL PETERSON||671026015872||BOOST000058|1|20230531|1|20230628|20230717|1|2|9251.47|3343.9|10031.7|3|83|4309.7|12|1|0|0|20230717|0|0.0|004|woodmatthew@example.org|||C|2006552167-M|2006552167-M||SCOTT LLC SDN BHD|1||
A|A|B|RUBEN MORRIS & PRICE, ORTEGA AND WILLIAMS|2001155349-M|770115025942||BOOST000059|1|20220811|1|20220908|20230326|1|2|13983.69|12338.55|49354.2|4|34|1994.81|22|1|0|1|20230326|0|0.0|002||012-1146742|20230109||||||||
A|A|B|SARAH WHITE & WRIGHT, CARPENTER AND WILLIAMS|2014929834-K|890725044150||BOOST000060|2|20250506|1|20250601|20250703|1|3|2926.73|1868.13|0.0|0|47|0.0|12|1|0|0|20250703|0|0.0|003||016-4237109|||||||||
A|A|I|AMY WHITE||930927149163||BOOST000061|1|20230320|1|20230323|20230623|1|2|13408.73|17489.65|0.0|0|23|2995.28|16|1|0|0|20230623|0|0.0|004|mbrooks@example.com|012-2996038|||||||||
A|A|C|ROMERO, DIXON AND WHITAKER SDN BHD|2021360599-X|2021360599-X||BOOST000062|1|20220910|1|20220917|20240521|1|2|4380.41|4106.63|0.0|0|32|524.01|21|1|0|0|20240521|0|0.0|002||018-4377580|||||||||
A|A|I|JOSHUA HARVEY||850627109410||BOOST000063|1|20230725|1|20230809|20240311|1|3|4989.91|9356.08|0.0|0|16|4812.29|24|1|0|0|20240311|0|0.0|003|samantha22@example.net|019-1358154||I||800922087014||ANDRE AVERY|1||
A|A|I|HALEY MURPHY||601215085093||BOOST000064|2|20240205|1|20240305|20250309|1|2|1328.32|830.2|0.0|0|48|0.0|12|1|0|0|20250309|0|0.0|001|ayalacourtney@example.com|013-4267727||I||651120095819||TRACEY STONE|1|GUARANTOR|
A|A|I|CHRISTOPHER FLORES||771121025541||BOOST000065|3|20221021|1|20221024|20230408|1|2|6265.32|2647.32|18531.24|7|71|716.6|13|1|0|2|20230408|0|0.0|002|denise25@example.net|018-2648829|20230108||||||||
A|A|I|MIRANDA GILL||561025064976||BOOST000066|1|20220731|1|20220827|20240624|1|3|17181.15|6442.93|0.0|0|80|8708.59|16|1|0|0|20240624|0|0.0|002|stephenlopez@example.com|||C|2023515355-W|2023515355-W||CUMMINGS LLC SDN BHD|1|CO-BORROWER|
A|A|I|LISA HUBBARD||950221122891||BOOST000067|1|20241231|1|20250123|20250205|2|2|13096.26|11225.37|0.0|0|35|1323.4|20|1|0|0|20250205|0|0.0|001|hamiltonjose@example.net||||||||||
A|A|I|EVAN MELTON||880903135174||BOOST000068|1|20230719|1|20230727|20240805|2|2|19999.42|11320.43|0.0|0|53|12031.25|15|1|0|0|20240805|0|0.0|004|williammoran@example.net|017-2278666|||||||||
A|A|I|CARLOS CRAIG||910305107233||BOOST000069|1|20221111|1|20221128|20231222|1|3|16179.57|5515.76|33094.56|6|88|6628.0|22|1|0|0|20231222|0|0.0|004||017-1596043|||||||||
A|A|B|KENNETH BURKE & DAVIES-PATEL|2016264905-M|621104089763||BOOST000070|1|20220801|1|20220812|20231015|1|3|16311.1|8896.96|35587.84|4|55|7268.08|22|1|0|1|20231015|0|0.0|003||019-8070896|20230723||||||||
A|A|I|EMILY STAFFORD||600125052800||BOOST000071|1|20230517|1|20230527|20240630|1|3|8850.54|6637.91|26551.64|4|40|5208.33|17|1|0|1|20240630|0|0.0|003|thompsonvanessa@example.org||20240514||||||||
A|A|I|CAITLIN WALKER||980114105092|W#######|BOOST000072|1|20240426|1|20240427|20240518|1|3|17742.29|13306.72|0.0|0|40|17160.1|16|1|0|0|20240518|0|0.0|003|andrewpittman@example.com|018-6502536|||||||||
A|A|I|JESSICA MYERS||751205146855||BOOST000073|4|20250119|1|20250202|20250211|1|2|2898.24|2998.18|20987.26|7|29|2031.48|16|1|0|2|20250211|0|0.0|001|scottjackson@example.net||20241207||||||||
A|A|C|THOMPSON-GILL SDN BHD|2023363894-W|2023363894-W||BOOST000074|1|20221020|1|20221118|20250222|1|3|15567.55|6577.84|0.0|0|71|10711.12|16|1|0|0|20250222|0|0.0|004|amyfigueroa@example.net|||C|2005768195-K|2005768195-K||ALLEN, NEWTON AND DAVIS SDN BHD|1||
A|A|I|LARRY LOPEZ||780902022373||BOOST000075|1|20230914|1|20230915|20241123|1|3|1657.87|2617.69|13088.45|5|19|1166.65|14|1|0|0|20241123|0|0.0|002|fishersteven@example.com|014-1605990|||||||||
A|A|I|DANIELLE MANNING||610324101902||BOOST000076|4|20221026|1|20221112|20240329|1|3|7510.81|5364.86|42918.88|8|42|6852.25|20|1|0|1|20240329|0|0.0|004|zwarren@example.com|017-2014568|20240120||||||||
A|A|I|MR. PATRICK FLORES||531108048953||BOOST000077|1|20220911|1|20221009|20240703|1|3|8996.08|4906.95|0.0|0|55|664.71|20|1|0|0|20240703|0|0.0|003|||||||||||
A|A|I|STEVE MILLER||690621106897||BOOST000078|1|20230623|1|20230703|20241209|1|2|6933.45|2363.68|0.0|0|88|2294.53|22|1|0|0|20241209|0|0.0|003|jason74@example.net|013-7431709|||||||||
A|A|B|CHRISTINA FRANCIS & JOHNSON, MACIAS AND BROWN|2015713476-H|960609075835||BOOST000079|1|20250509|1|20250601|20250701|1|3|11292.49|4640.75|9281.5|2|73|5450.63|22|1|0|0|20250701|0|0.0|001||013-9293341|||||||||
A|A|C|DELEON, GRIMES AND SMITH SDN BHD|2019705536-K|2019705536-K||BOOST000080|1|20230701|1|20230706|20240608|1|2|2395.56|2177.78|0.0|0|33|2263.68|24|1|0|0|20240608|0|0.0|004|poncesamantha@example.org||||||||||
A|A|I|JOHN JOHNSON||720506114978||BOOST000081|1|20221011|1|20221103|20250101|1|2|13078.38|7265.77|0.0|0|54|12297.0|21|1|0|0|20250101|0|0.0|003||012-6020259|||||||||
A|A|C|SANDOVAL, RAMOS AND LE SDN BHD|2024163543-X|2024163543-X|M#######|BOOST000082|1|20230425|1|20230515|20250303|1|2|16244.7|10152.94|40611.76|4|48|10847.83|15|1|0|1|20250303|0|0.0|003|chavezbrian@example.net|013-2261321|20250107||||||||
A|A|I|RAYMOND FLETCHER||610204046259||BOOST000083|2|20230530|1|20230611|20240915|1|2|16011.73|53372.43|0.0|0|9|0.0|16|1|0|0|20240915|0|0.0|003|mcdowellvictoria@example.net|018-9339595|||||||||
A|A|I|SHERI ROBINSON||810604069926||BOOST000084|1|20220715|1|20220717|20250429|2|3|13712.82|5876.92|5876.92|1|70|10166.43|20|1|0|0|20250429|0|0.0|004|stephensonconnie@example.net|013-3606904||I||780719148234||STEPHEN GREGORY|1|GUARANTOR|
A|A|I|ALYSSA GREEN||930104121358||BOOST000085|1|20231211|1|20231219|20240707|1|3|12490.01|18735.02|0.0|0|20|6441.32|21|1|0|0|20240707|0|0.0|002||016-8208584|||||||||
A|A|C|PETERS-CRAWFORD SDN BHD|2013842231-H|2013842231-H||BOOST000086|1|20240216|1|20240223|20250425|1|3|9247.45|7113.42|0.0|0|39|8666.64|18|1|0|0|20250425|0|0.0|001|mbrewer@example.org|018-9811849|||||||||
A|A|C|DAVIS, ADAMS AND ODONNELL SDN BHD|2015323699-K|2015323699-K||BOOST000087|4|20230609|1|20230709|20250203|1|2|10356.04|11949.28|83644.96|7|26|7530.78|14|1|0|0|20250203|0|0.0|001|manuel20@example.org|018-1742237|||||||||
A|A|I|TAMMY NORRIS||710523054219||BOOST000088|1|20230726|1|20230814|20250311|1|2|8873.75|5219.85|0.0|0|51|7720.23|18|1|0|0|20250311|0|0.0|004|||||||||||
A|A|I|RYAN CLARK||580523137664||BOOST000089|1|20230209|1|20230209|20240131|1|3|8744.16|4372.08|0.0|0|60|5896.7|13|1|0|0|20240131|0|0.0|001|fchen@example.org|014-4609863|||||||||
A|A|C|MORRIS-THOMPSON SDN BHD|2022395940-X|2022395940-X||BOOST000090|1|20241216|1|20250105|20250509|1|2|17854.15|17278.21|0.0|0|31|17100.4|12|1|0|0|20250509|0|0.0|001|millerjoshua@example.net|019-5057534|||||||||
A|A|I|SAMANTHA NUNEZ||700106062538||BOOST000091|3|20240802|1|20240823|20250306|2|2|19186.56|9755.88|117070.56|12|59|9228.97|15|1|0|1|20250306|0|0.0|004|wgreen@example.net|016-6656469|20241222||||||||
A|A|I|MIGUEL BROWN||521119131543||BOOST000092|1|20221224|1|20230112|20240606|1|3|6725.73|3736.52|0.0|0|54|6029.69|23|1|0|0|20240606|0|0.0|004|iparks@example.net|019-5402071|||||||||
A|A|I|CHARLES RICE||621120015850||BOOST000093|1|20221123|1|20221126|20250221|1|2|18592.62|8715.29|0.0|0|64|10730.82|18|1|0|0|20250221|0|0.0|004|||||||||||
A|A|I|CHRISTINA OLIVER||650411079674||BOOST000094|4|20230716|1|20230724|20230828|1|3|1924.47|1408.15|8448.9|6|41|920.09|21|1|0|0|20230828|0|0.0|001|jonesethan@example.org|018-2613238|||||||||
A|A|I|PAUL GOMEZ||640804078390||BOOST000095|1|20250119|1|20250212|20250615|1|2|5658.73|21220.24|0.0|0|8|1789.86|16|1|0|0|20250615|0|0.0|001|barkeraaron@example.org|019-7339839|||||||||
A|A|B|DAWN MURRAY & ARIAS-HAWKINS|2011524283-K|770315052836||BOOST000096|1|20250516|1|20250531|20250605|1|2|15775.72|36405.51|0.0|0|13|4823.88|23|1|0|0|20250605|0|0.0|004|simsdonna@example.com|019-7720169|||||||||
A|A|I|MICHAEL HUDSON||950903126772||BOOST000097|1|20250220|1|20250225|20250617|2|2|10260.65|10993.55|0.0|0|28|10032.39|21|1|0|0|20250617|0|0.0|004|karibruce@example.net|013-4997235|||||||||
A|A|C|MOONEY, KOCH AND SMITH SDN BHD|2018354828-M|2018354828-M||BOOST000098|2|20221129|1|20221227|20240116|1|2|17825.85|21391.02|0.0|0|25|0.0|22|1|0|0|20240116|0|0.0|003|stewartmonica@example.net|019-4509452|||||||||
A|A|I|HUNTER GEORGE||880211028046|G#######|BOOST000099|2|20230531|1|20230611|20240425|2|3|11784.98|6799.03|0.0|0|52|0.0|14|1|0|0|20240425|0|0.0|001|robert28@example.com|014-9028229||C|2016307318-X|2016307318-X||RIVERA-MARSH SDN BHD|1|CO-BORROWER|
A|A|C|ROBINSON LTD SDN BHD|2023926240-M|2023926240-M||BOOST000100|2|20230922|1|20230922|20250627|2|2|7467.08|2635.44|0.0|0|85|0.0|20|1|0|0|20250627|0|0.0|003|hatfieldlinda@example.org|012-5996498|||||||||
A|A|I|RODNEY CALLAHAN||941120045263||BOOST000101|1|20231231|1|20240104|20240105|1|2|11518.86|3972.02|0.0|0|87|3413.87|22|1|0|0|20240105|0|0.0|001|johnsonrenee@example.net|018-2371979||C|2015228669-W|2015228669-W||AUSTIN-WATSON SDN BHD|1|CO-BORROWER|
A|A|I|DAVID FUENTES||520801089621||BOOST000102|3|20240316|1|20240408|20250203|1|2|8246.91|4668.06|28008.36|6|53|5340.49|17|1|0|1|20250203|0|0.0|002||016-2764329|20241206||||||||
A|A|I|EDWARD AVILA||531109026553||BOOST000103|1|20221026|1|20221027|20230214|1|3|7845.61|2802.0|8406.0|3|84|2343.74|12|1|0|0|20230214|0|0.0|003|vjackson@example.org|017-1804598|||||||||
A|A|I|JOSE WHEELER||621210032634||BOOST000104|2|20240206|1|20240220|20240902|2|3|12097.49|5337.13|0.0|0|68|0.0|12|1|0|0|20240902|0|0.0|001||019-2716573|||||||||
A|A|I|RHONDA TAYLOR||980526087836||BOOST000105|1|20241005|1|20241025|20250506|1|2|19564.07|11286.96|56434.8|5|52|11791.1|15|1|0|0|20250506|0|0.0|004|gregbaird@example.net|013-6624739|||||||||
A|A|I|CHRISTOPHER GAINES||620520071174||BOOST000106|1|20230429|1|20230508|20250608|1|3|10312.01|4549.42|0.0|0|68|3258.1|22|1|0|0|20250608|0|0.0|004|hernandezjeremiah@example.net||||||||||
A|A|I|JOSE NORMAN||560417065422||BOOST000107|1|20231010|1|20231103|20250618|1|2|4362.68|1869.72|11218.32|6|70|224.3|12|1|0|1|20250618|0|0.0|003|emily26@example.org|014-6067793|20250329||||||||
A|A|I|MELINDA HANSEN||981106133897||BOOST000108|1|20240318|1|20240320|20241006|1|2|13798.04|10613.88|21227.76|2|39|6051.97|22|1|0|0|20241006|0|0.0|004|hardingjoshua@example.org|019-3041991|||||||||
A|A|I|SARAH LYNN||700115022604||BOOST000109|2|20250508|1|20250531|20250616|1|3|19964.31|59892.93|0.0|0|10|0.0|18|1|0|0|20250616|0|0.0|002|andrea29@example.com|013-8041599|||||||||
A|A|I|GEORGE WARREN||720917122580||BOOST000110|1|20230307|1|20230402|20240716|1|3|7846.28|3923.14|0.0|0|60|2946.49|19|1|0|0|20240716|0|0.0|004|ehodge@example.net||||||||||
A|A|I|KRISTIN VANCE||640307135026||BOOST000111|1|20221215|1|20221231|20230924|1|2|18029.87|18029.87|54089.61|3|30|5795.63|22|1|0|0|20230924|0|0.0|001||016-5168192||I||890114142592||MICHAEL REESE|1|CO-BORROWER|
